,Lat,Lon,Base,Hour,KMEANS5_labels,AGGC_label,Day,KMEANS_label,DBSCAN_label
132,40.8311,-73.9517,2,16,1,2,5,6,0
133,40.7132,-73.9388,4,17,0,0,0,5,0
134,40.7168,-74.0054,2,17,2,0,5,3,0
135,40.7423,-73.999,1,11,2,0,0,4,0
136,40.7337,-74.0028,3,22,2,0,4,4,0
137,40.7584,-73.9769,3,17,7,2,4,7,0
138,40.7369,-74.0033,2,8,2,0,4,4,0
139,40.7531,-73.9895,2,22,7,2,4,4,0
140,40.7677,-73.9853,4,10,7,2,1,7,0
142,40.7584,-73.9771,2,21,7,2,2,7,0
143,40.7507,-73.9982,1,21,7,2,0,4,0
144,40.7778,-73.9632,2,13,1,2,6,2,0
145,40.7643,-73.983,2,14,7,2,3,7,0
146,40.7764,-73.9598,1,0,1,2,4,2,0
147,40.7531,-73.9721,1,20,7,2,0,7,0
148,40.79,-73.9753,1,16,1,2,2,6,0
150,40.7263,-73.9785,3,21,2,0,5,1,0
152,40.7852,-73.9712,2,5,1,2,1,6,0
153,40.7594,-73.981,3,16,7,2,0,7,0
154,40.72,-73.9942,3,20,2,0,4,1,0
155,40.7178,-73.9637,1,9,0,0,4,5,0
156,40.6879,-73.9477,1,9,0,0,0,5,0
157,40.7435,-73.9728,4,7,7,2,1,7,0
158,40.7539,-73.9889,0,22,7,2,4,4,0
159,40.7655,-73.9192,1,12,1,2,5,2,0
160,40.759,-73.9813,1,20,7,2,1,7,0
161,40.7734,-73.9648,1,10,1,2,1,2,0
162,40.7509,-74.0056,3,15,2,0,2,4,0
163,40.7213,-74.0044,3,20,2,0,6,3,0
164,40.7541,-73.998,1,9,7,2,3,4,0
165,40.7453,-73.9867,1,18,7,2,3,4,0
166,40.7404,-73.9726,3,21,7,2,0,1,0
167,40.7217,-73.9996,1,3,2,0,6,3,0
168,40.7169,-74.0108,2,9,2,0,3,3,0
169,40.722,-73.9985,3,14,2,0,4,3,0
170,40.7451,-73.989,1,10,7,2,2,4,0
171,40.7553,-73.9864,1,15,7,2,0,7,0
172,40.7377,-73.9916,3,1,2,2,6,1,0
173,40.7572,-73.9689,1,14,7,2,3,7,0
176,40.742,-74.0039,1,18,2,0,2,4,0
177,40.7629,-73.9822,3,6,7,2,3,7,0
178,40.763,-73.9794,3,17,7,2,2,7,0
179,40.741,-74.0016,2,12,2,0,2,4,0
180,40.7382,-73.9736,2,9,7,0,5,1,0
182,40.6932,-73.9996,0,22,2,0,2,0,0
183,40.7541,-73.9998,2,21,7,2,6,4,0
184,40.7265,-74.0024,2,12,2,0,2,3,0
185,40.73,-74.0005,3,21,2,0,2,1,0
186,40.7674,-73.9666,1,22,7,2,1,7,0
187,40.7235,-73.9889,3,17,2,0,0,1,0
188,40.7491,-73.9734,2,8,7,2,3,7,0
